

admin@DESKTOP-CTAGE42 MSYS /d/AlBrowserDownloads/cryptopp600a
$ pacman -Sl
mingw32 mingw-w64-i686-3proxy 0.8.9-1
mingw32 mingw-w64-i686-4th 3.62.5-1
mingw32 mingw-w64-i686-MinHook 1.3.3-1
mingw32 mingw-w64-i686-OpenSceneGraph 3.6.0-3
mingw32 mingw-w64-i686-OpenSceneGraph-debug 3.6.0-3
mingw32 mingw-w64-i686-SDL 1.2.15-8
mingw32 mingw-w64-i686-SDL2 2.0.8-2
mingw32 mingw-w64-i686-SDL2_gfx 1.0.1-2
mingw32 mingw-w64-i686-SDL2_image 2.0.3-1
mingw32 mingw-w64-i686-SDL2_mixer 2.0.2-2
mingw32 mingw-w64-i686-SDL2_net 2.0.1-1
mingw32 mingw-w64-i686-SDL2_ttf 2.0.14-1
mingw32 mingw-w64-i686-SDL_gfx 2.0.25-4
mingw32 mingw-w64-i686-SDL_image 1.2.12-6
mingw32 mingw-w64-i686-SDL_mixer 1.2.12-6
mingw32 mingw-w64-i686-SDL_net 1.2.8-2
mingw32 mingw-w64-i686-SDL_ttf 2.0.11-5
mingw32 mingw-w64-i686-a52dec 0.7.4-4
mingw32 mingw-w64-i686-adns 1.4.g10.7-1
mingw32 mingw-w64-i686-adwaita-icon-theme 3.28.0-1
mingw32 mingw-w64-i686-ag 2.1.0.r1975.d83e205-1
mingw32 mingw-w64-i686-alembic 1.7.3-1
mingw32 mingw-w64-i686-allegro 5.2.3-1
mingw32 mingw-w64-i686-alure 1.2-1
mingw32 mingw-w64-i686-angleproject-git 2.1.r8455-1
mingw32 mingw-w64-i686-ansicon-git 1.70.r65.3acc7a9-2
mingw32 mingw-w64-i686-antiword 0.37-2
mingw32 mingw-w64-i686-antlr3 3.5.2-1
mingw32 mingw-w64-i686-antlr4-runtime-cpp 4.7.1-1
mingw32 mingw-w64-i686-apr 1.6.3-1
mingw32 mingw-w64-i686-apr-util 1.6.1-1
mingw32 mingw-w64-i686-argon2 20171227-2
mingw32 mingw-w64-i686-aria2 1.33.1-1
mingw32 mingw-w64-i686-aribb24 1.0.3-3
mingw32 mingw-w64-i686-armadillo 8.500.1-1
mingw32 mingw-w64-i686-arpack 3.5.0-1
mingw32 mingw-w64-i686-asciidoctor 1.5.5-3
mingw32 mingw-w64-i686-aspell 0.60.7.rc1-1
mingw32 mingw-w64-i686-aspell-de 20030222-1
mingw32 mingw-w64-i686-aspell-en 7.1-1
mingw32 mingw-w64-i686-aspell-es 1.11.2-1
mingw32 mingw-w64-i686-aspell-fr 0.50-1
mingw32 mingw-w64-i686-aspell-ru 0.99f7.1-1
mingw32 mingw-w64-i686-assimp 4.1.0-1
mingw32 mingw-w64-i686-astyle 3.1-1
mingw32 mingw-w64-i686-atk 2.28.1-1
mingw32 mingw-w64-i686-atkmm 2.24.2-2
mingw32 mingw-w64-i686-attica-qt5 5.42.0-1
mingw32 mingw-w64-i686-avrdude 6.3-2
mingw32 mingw-w64-i686-aztecgen 1.0.1-1
mingw32 mingw-w64-i686-babl 0.1.50-1
mingw32 mingw-w64-i686-badvpn 1.999.130-2
mingw32 mingw-w64-i686-bcunit 3.0.2-1
mingw32 mingw-w64-i686-binaryen 1.37.10-1
mingw32 mingw-w64-i686-binutils 2.30-3
mingw32 mingw-w64-i686-blender 2.79.b-3
